"","Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes","Year"
"21221","9/18/2018","N. Twin",NA,"BLG",142,52,NA,"euthanized",2018
"21222","9/18/2018","N. Twin",NA,"BLG",178,120,NA,"euthanized",2018
"21223","9/18/2018","N. Twin",NA,"BLG",104,23,NA,"euthanized",2018
"21224","9/18/2018","N. Twin",NA,"BLG",94,17,NA,"euthanized",2018
"21225","9/18/2018","N. Twin",NA,"BLG",124,40,NA,"euthanized",2018
"21226","9/18/2018","N. Twin",NA,"WHC",216,111,NA,"euthanized",2018
"21227","9/18/2018","N. Twin",NA,"WHC",211,170,NA,"euthanized",2018
"21228","9/18/2018","N. Twin",NA,"WHC",257,225,NA,"euthanized",2018
"21229","9/18/2018","N. Twin",NA,"WHC",249,191,NA,"euthanized",2018
"21230","9/18/2018","N. Twin",NA,"WHC",218,132,NA,"euthanized",2018
"21231","9/18/2018","N. Twin",NA,"WHC",244,191,NA,"euthanized",2018
"21232","9/18/2018","N. Twin",NA,"WHC",241,282,NA,"euthanized",2018
"21233","9/18/2018","N. Twin",NA,"WHC",231,160,NA,"euthanized",2018
"21234","9/18/2018","N. Twin",NA,"WHC",185,89,NA,"euthanized",2018
"21235","9/18/2018","N. Twin",NA,"WHC",251,69,NA,"euthanized",2018
"21236","9/18/2018","N. Twin",NA,"WHC",170,58,NA,"euthanized",2018
"21237","9/18/2018","N. Twin",NA,"WHC",175,64,NA,"euthanized",2018
"21238","9/18/2018","N. Twin",NA,"WAE",549,1751,NA,"euthanized",2018
"21239","9/18/2018","N. Twin",NA,"WAE",594,1801,NA,"euthanized",2018
"21240","9/18/2018","N. Twin",NA,"YEB",427,363,NA,"euthanized",2018
"21241","9/18/2018","N. Twin",NA,"YEB",246,211,NA,"euthanized",2018
"21285","9/18/2018","N. Twin",NA,"BLB",259,245,NA,"euthanized",2018
"21286","9/18/2018","N. Twin",NA,"BLG",180,142,NA,"euthanized",2018
"21287","9/18/2018","N. Twin",NA,"WHC",178,69,NA,"euthanized",2018
"21288","9/18/2018","N. Twin",NA,"WHC",208,103,NA,"euthanized",2018
"21289","9/18/2018","N. Twin",NA,"WHC",206,103,NA,"euthanized",2018
"21290","9/18/2018","N. Twin",NA,"WHC",249,170,NA,"euthanized",2018
"21291","9/18/2018","N. Twin",NA,"WHC",224,139,NA,"euthanized",2018
"21292","9/18/2018","N. Twin",NA,"WHC",160,45,NA,"euthanized",2018
"21293","9/18/2018","N. Twin",NA,"WHC",183,67,NA,"euthanized",2018
"21294","9/18/2018","N. Twin",NA,"WHC",196,88,NA,"euthanized",2018
"21295","9/18/2018","N. Twin",NA,"WHC",193,86,NA,"euthanized",2018
"21296","9/18/2018","N. Twin",NA,"WHC",196,94,NA,"euthanized",2018
"21297","9/18/2018","N. Twin",NA,"WHC",170,57,NA,"euthanized",2018
"21298","9/18/2018","N. Twin",NA,"WHC",175,61,NA,"euthanized",2018
"21299","9/18/2018","N. Twin",NA,"WHC",163,54,NA,"euthanized",2018
"21300","9/18/2018","N. Twin",NA,"WHC",168,57,NA,"euthanized",2018
"21301","9/18/2018","N. Twin",NA,"WHC",178,69,NA,"euthanized",2018
"21302","9/18/2018","N. Twin",NA,"WHC",170,64,NA,"euthanized",2018
"21303","9/18/2018","N. Twin",NA,"WAE",648,2740,NA,"euthanized",2018
"21325","9/18/2018","N. Twin",NA,"YEB",234,170,NA,"euthanized",2018
"21326","9/18/2018","N. Twin",NA,"YEB",292,320,NA,"euthanized",2018
"21327","9/18/2018","N. Twin",NA,"BLG",193,183,NA,"euthanized",2018
"21328","9/18/2018","N. Twin",NA,"BLG",183,172,NA,"euthanized",2018
"21329","9/18/2018","N. Twin",NA,"BLG",168,118,NA,"euthanized",2018
"21330","9/18/2018","N. Twin",NA,"BLG",168,120,NA,"euthanized",2018
"21331","9/18/2018","N. Twin",NA,"BLG",124,51,NA,"euthanized",2018
"21332","9/18/2018","N. Twin",NA,"BLG",122,50,NA,"euthanized",2018
"21333","9/18/2018","N. Twin",NA,"BLG",104,18,NA,"euthanized",2018
"21334","9/18/2018","N. Twin",NA,"BLG",114,30,NA,"euthanized",2018
"21335","9/18/2018","N. Twin",NA,"BLG",130,30,NA,"euthanized",2018
"21336","9/18/2018","N. Twin",NA,"BLG",124,40,NA,"euthanized",2018
"21337","9/18/2018","N. Twin",NA,"BLG",109,23,NA,"euthanized",2018
"21338","9/18/2018","N. Twin",NA,"BLG",119,26,NA,"euthanized",2018
"21339","9/18/2018","N. Twin",NA,"BLG",104,21,NA,"euthanized",2018
"21340","9/18/2018","N. Twin",NA,"BLG",130,45,NA,"euthanized",2018
"21341","9/18/2018","N. Twin",NA,"BLG",104,23,NA,"euthanized",2018
"21342","9/18/2018","N. Twin",NA,"BLG",104,18,NA,"euthanized",2018
"21343","9/18/2018","N. Twin",NA,"BLG",109,47,NA,"euthanized",2018
"21344","9/18/2018","N. Twin",NA,"BLG",94,17,NA,"euthanized",2018
"21345","9/18/2018","N. Twin",NA,"BLG",99,16,NA,"euthanized",2018
"21346","9/18/2018","N. Twin",NA,"BLG",104,21,NA,"euthanized",2018
"21347","9/18/2018","N. Twin",NA,"BLG",89,16,NA,"euthanized",2018
"21348","9/18/2018","N. Twin",NA,"BLG",94,16,NA,"euthanized",2018
"21349","9/18/2018","N. Twin",NA,"WHC",358,697,NA,"euthanized",2018
"21350","9/18/2018","N. Twin",NA,"WHC",325,498,NA,"euthanized",2018
"21351","9/18/2018","N. Twin",NA,"WHC",305,388,NA,"euthanized",2018
"21352","9/18/2018","N. Twin",NA,"WHC",234,173,NA,"euthanized",2018
"21353","9/18/2018","N. Twin",NA,"WHC",254,231,NA,"euthanized",2018
"21354","9/18/2018","N. Twin",NA,"WHC",244,184,NA,"euthanized",2018
"21355","9/18/2018","N. Twin",NA,"WHC",218,170,NA,"euthanized",2018
"21356","9/18/2018","N. Twin",NA,"WHC",239,NA,NA,"euthanized",2018
"21357","9/18/2018","N. Twin",NA,"WHC",269,265,NA,"euthanized",2018
"21358","9/18/2018","N. Twin",NA,"WHC",236,269,NA,"euthanized",2018
"21359","9/18/2018","N. Twin",NA,"WHC",244,187,NA,"euthanized",2018
"21360","9/18/2018","N. Twin",NA,"WHC",229,155,NA,"euthanized",2018
"21361","9/18/2018","N. Twin",NA,"WHC",239,173,NA,"euthanized",2018
"21362","9/18/2018","N. Twin",NA,"WHC",213,112,NA,"euthanized",2018
"21363","9/18/2018","N. Twin",NA,"WHC",173,62,NA,"euthanized",2018
"21364","9/18/2018","N. Twin",NA,"WHC",196,91,NA,"euthanized",2018
"21365","9/18/2018","N. Twin",NA,"WHC",216,103,NA,"euthanized",2018
"21366","9/18/2018","N. Twin",NA,"WHC",236,169,NA,"euthanized",2018
"21367","9/18/2018","N. Twin",NA,"WHC",178,64,NA,"euthanized",2018
"21368","9/18/2018","N. Twin",NA,"WHC",163,41,NA,"euthanized",2018
"21369","9/18/2018","N. Twin",NA,"WHC",170,60,NA,"euthanized",2018
"21370","9/18/2018","N. Twin",NA,"WHC",168,52,NA,"euthanized",2018
"21371","9/18/2018","N. Twin",NA,"WHC",236,164,NA,"euthanized",2018
"21372","9/18/2018","N. Twin",NA,"WHC",163,48,NA,"euthanized",2018
"21373","9/18/2018","N. Twin",NA,"WHC",241,157,NA,"euthanized",2018
