Sample ID,Lake ID,Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Haptophyta,Alona,Anuraeopsis,Ascomorpha,Asplanchna,Asplanchnopus,Bosmina,Brachionus,Calanoida,Ceriodaphnia,Chydorus,Collotheca,Conochilus (Individual),Coulrella,Cyclopoida,Daphnia,Daphnia lumholtzi,Diaphanosoma,Disparalona,Euchlanis,Filinia,Gastropus,Hexarthra ,Kellicottia,Keratella cochlearis,Keratella quadrata,Lecane,Lepadella,Leptodora,Macrochaetus,Moina,Monostyla,Mytilina,Nauplii,Notholca,Platyias,Pleuroxus,Polyarthra,Pompholyx,Proales,Pseudochydorus,Synchaeta,Testudinella,Trichocerca
2000167002,36,1,(036) Five Island Lake (Palo Alto ) ,6/15/2000 8:00,2000,181,19.4,20,10,10,1.63,,,0.36,5.5,0.84,20.3,8.3,93,8.4,438,,6,8.90944,,4.62773,0.15559,,0.08962,4.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000195003,36,2,(036) Five Island Lake (Palo Alto ) ,7/13/2000 0:00,2000,186,,14,2,12,1.55,,,0.25,5.2,0.88,28,8.6,98,7.7,,,17,9.50191,86.501727,0.0322,0.03978,,2.38676,5.85926,1.18391,,,,,,,,,,7.974282,,,,,,57.090657,16.948383,,,,,,,,,0.062389,,,,,,,,,4.426016,,,,,,,,,,
2000220002,36,3,(036) Five Island Lake (Palo Alto ) ,8/7/2000 14:45,2000,172,27.1,26,12,14,1.57,,,0.17,5.5,0.68,26,8.7,111,9,400,,21,21.10746,63.793181,4.23945,5.95255,,0.82001,10.09545,,,,,,,,,,0.287735,35.370993,,,,,,4.730693,21.127993,,,,,,,,,0.063073,,,,,,,,,2.212694,,,,,,,,,,
2001137002,36,1,(036) Five Island Lake (Palo Alto ) ,5/17/2001 0:00,2001,138,5.7,19,4,15,2.37,146,,1.37,6.2,2.1,20.3,8.3,99,8.9,371,,61,22.59725,144.506044,18.22875,2.65396,,0.89345,0.81357,,0.00752,,,,,,,16.577687,,10.886814,10.132047,,,,,23.026443,56.444434,,,,,,,,,0.202663,,0.042559,,,,,,,24.534917,,,,2.0798,,,,,,0.57868
2001165002,36,2,(036) Five Island Lake (Palo Alto ) ,6/14/2001 0:00,2001,144,17.9,20,8,12,3.29,67,,2.18,5.5,0.85,21.7,8.7,92,8.1,371,,24,17.90455,17.697365,4.40573,0.011,,1.39397,9.64894,2.44491,,,,,,,,,,5.971904,,,,,,4.731262,4.555952,,,,,,,,,0.145257,,,,,,,,,1.318211,,,,0.234432,,,,,,0.740347
2001200002,36,3,(036) Five Island Lake (Palo Alto ) ,7/19/2001 0:00,2001,124,28.5,10,9,2,2.32,19,,0.96,6.1,1.1,27.7,8.9,120,9.4,591,,20,87.8269,36.339157,13.96298,9.96075,,1.016,62.88717,,,,,,,0.060439,,,,4.819568,,,,,,14.543883,12.396056,,,,,,,,,0.177704,,,,,,,,,4.204932,,,,,,,,,,0.136575
2002143003,36,1,(036) Five Island Lake (Palo Alto ) ,5/23/2002 0:00,2002,151,9.8,17,6,11,1.74,88,3,0.46,5.8,0.7,21.9,,104,9.1,425,,8,5.42198,214.135584,3.59843,0.74913,,0.59667,0.4773,,0.00045,,,,,3.85823,,72.971435,,34.2752,,,,,,3.620603,66.699043,,,,,0.08654,,,,0.139159,0.541958,,,,,,,,31.943416,,,,,,,,,,
2002171003,36,2,(036) Five Island Lake (Palo Alto ) ,6/20/2002 0:00,2002,172,35.6,34,7,26,2.18,97,6,0.83,4.3,0.35,22.4,7.9,89,7.8,548,,51,325.7791,269.75105,133.43706,2.92597,,,189.41607,,,,,,,6.717161,,1.956303,0.295616,82.071222,,,,,,30.668441,106.897659,,,,,,,,,1.185377,1.096198,0.219884,,,,,,,37.424844,,,,1.218345,,,,,,
2002206003,36,3,(036) Five Island Lake (Palo Alto ) ,7/25/2002 9:15,2002,167,50.8,27,13,13,1.44,88,2,0.2,5.5,0.6,25.7,8.4,97,8,457,,31,30.01588,80.694959,3.18811,0.50356,,,26.32421,,,,,,,,,,0.155423,43.398168,,,,,,1.289673,29.394889,,,,,0.22971,,,,0.09151,,,,,,,,,6.058057,,,,0.077529,,,,,,
2003142003,36,1,(036) Five Island Lake (Palo Alto ) ,5/22/2003 9:30,2003,150,20.1,25,6,19,3.14,79,4,2.64,6.5,0.63,15.7,8.9,86,8.5,522,,42,11.37267,228.369967,8.00443,3.0757,0.00959,0.18064,0.10231,,,,,,,1.860627,,68.274359,,72.364603,,,,,,18.898546,56.542149,,,,,0.050058,,,,0.649196,1.913397,,,,,,,,7.787929,,,,0.029103,,,,,,
2003170003,36,2,(036) Five Island Lake (Palo Alto ) ,6/19/2003 8:40,2003,128,31.9,30,9,21,3.8,76,4,2.1,6.4,0.45,22.8,8.8,89,7.6,473,,27,11.02067,293.569306,3.12034,0.34144,0.04202,0.00788,7.50899,,,,,,,1.081237,,7.595776,2.74577,180.427208,,,,,,34.361214,50.706098,,,,,0.04741,,,,1.17889,0.326059,,,,,,,,14.714346,,,,0.328069,,,,,,0.057229
2003204004,36,3,(036) Five Island Lake (Palo Alto ) ,7/23/2003 17:30,2003,100,40.5,18,14,4,1.63,54,0.5,0.13,5.2,0.4,27.1,8.9,158,12.6,418,,20,104.55785,79.306713,0.12153,1.18599,,,103.25033,,,,,,,,,,,73.21241,,,,,,0.90623,1.180541,,,,,,,,,,,,,,,,,,4.007532,,,,,,,,,,
2004141003,36,1,(036) Five Island Lake (Palo Alto ) ,5/20/2004 9:30,2004,127,35.6,11,7,4,1.95,59,0.5,0.55,6.2,0.95,17.3,8.6,109,10.5,485,,17,47.27737,182.111752,,,,,47.27737,,,,,,,,,,,81.136714,,,,,,1.026048,84.087563,,,,,,,,,0.383251,0.480132,,,,,,,,14.998044,,,,,,,,,,
2004169003,36,2,(036) Five Island Lake (Palo Alto ) ,6/17/2004 8:45,2004,160,42.8,32,11,21,5.94,87,0.5,4.35,6,0.65,21.6,8.7,82,7.2,468,,54,334.99439,183.237362,4.48389,1.5057,,0.52699,328.35824,,0.11957,,,,,11.742117,,20.42393,5.694056,54.789476,,,,0.007397,,,73.153352,,,,,,,,,1.579461,0.366083,,,,,,,,13.415279,,,,1.957683,0.108528,,,,,
2004203002,36,3,(036) Five Island Lake (Palo Alto ) ,7/21/2004 15:00,2004,132,57.7,27,20,7,5.05,84,0.5,2.08,6.6,0.4,29.1,8.7,147,11.3,403,,26,280.11842,1734.3872,0.5841,0.72185,,0.27579,278.40297,,0.13371,,,,,,,,0.414774,1368.485459,,,,,,137.936139,158.233336,,,,,0.959898,,,,0.614303,,,,,,,,,67.743291,,,,,,,,,,
2005146011,36,1,(036) Five Island Lake (Palo Alto ) ,5/26/2005 9:45,2005,209,37.6,36,19,18,5.79,106,,4.23,6.3,0.5,17.7,8.3,78,7.5,515,,55,22.25898,70.439622,16.37786,0.84605,,0.54363,4.3167,,0.17474,,,,,0.947781,,34.741162,,6.382477,,,,,,8.578762,8.317466,,,,,,,,,0.219822,,,,,,,,,10.931689,,,,0.320463,,,,,,
2005173004,36,2,(036) Five Island Lake (Palo Alto ) ,6/22/2005 11:15,2005,194,67.3,23,11,12,4.59,69,0.5,3.1,6.3,0.75,26.5,8.7,131,10.5,496,,7,102.78996,201.104216,5.06932,0.67955,,0.19329,96.72354,,0.12426,,,,,,,,20.127174,131.616286,,,,,,13.632292,,,,,,2.161535,,,,8.219641,,,,,,,,,22.991433,,,,,2.355855,,,,,
2005206010,36,3,(036) Five Island Lake (Palo Alto ) ,7/25/2005 15:30,2005,147,181.8,,,,2.19,116,0.5,0.57,6,0.4,29.5,9,155,11.8,423,,23,65.59994,81.259516,8.57617,0.79772,,2.47884,53.74721,,,,,,,,,,3.635323,11.532889,,,,,,4.064918,11.764806,,,,,0.490896,,,,6.447045,,0.147161,,,,,,,41.955487,,,,0.11442,0.451001,,,,,0.65557
2006159004,36,1,(036) Five Island Lake (Palo Alto ) ,6/8/2006 16:30,2006,216,36.2,28,10,18,3.91,73,2,2.25,6,0.55,23.6,8.6,100,8.5,540,,44,14.05707,196.243106,4.32834,0.37552,,0.04383,9.30938,,,,,,,,,17.591794,2.382267,92.144605,,,,,,7.178325,58.399728,,,,,,,,,0.522392,,0.050598,,,,,,,17.327336,,,,0.646061,,,,,,
2006171004,36,2,(036) Five Island Lake (Palo Alto ) ,6/20/2006 12:00,2006,190,35.2,,,,2.31,60,0.5,0.83,5.6,0.47,22.5,8.8,99,8.6,488,,30,315.11448,10.228761,0.82864,0.0977,,,314.18814,,,,,,,,,,0.155033,,,,,,,0.829198,6.177727,,,,,,,,,0.244714,,,,,,,,,2.605664,,,,,0.216425,,,,,
2006206022,36,3,(036) Five Island Lake (Palo Alto ) ,7/25/2006 13:25,2006,163,30.6,18,12,6,1.27,64,0.5,0.16,5.3,0.55,26.5,8.5,120,9.7,469,,91,45.25955,29.124128,0.20136,0.593,,0.27125,42.76574,1.02963,0.39857,,,,0.071487,,,,0.520203,16.082048,,,,,,6.639326,,,,,,0.040964,,,,0.069831,,0.0056,,,,,,,5.605693,,,,0.025023,,,,,,0.063953
2007142003,36,1,(036) Five Island Lake (Palo Alto ) ,5/22/2007 12:00,2007,181,63.9,69,23,46,4.4,116,2.5,2.48,4.8,0.35,20.6,8,98,8.8,455,,37,93.79068,104.027613,0.13774,0.00706,,1.04357,92.60231,,,,,,,,,35.430766,0.25601,8.763861,,,,,,10.888401,27.364486,,,,,,,,,0.272132,,,,,,,,,20.966757,,,,0.0852,,,,,,
2007170037,36,2,(036) Five Island Lake (Palo Alto ) ,6/19/2007 12:00,2007,180,26,29,11,18,2.62,81,2.5,1.02,7.4,0.6,23.7,7.9,78,6.6,475,,35,12.63111,73.856635,5.86577,0.21515,,0.07172,6.47847,,,,,,,0.838132,,6.094756,0.296395,25.049866,,,,0.026781,,4.573929,22.746472,,,,,0.104531,,,,0.361084,,,,,,,,,13.212045,,,,0.277788,0.274856,,,,,
2007206018,36,3,(036) Five Island Lake (Palo Alto ) ,7/25/2007 11:30,2007,159,24.1,40,28,12,0.69,169,2.5,0.29,5.6,0.25,26.9,8.2,87,6.9,465,,52,63.84883,50.302698,,0.56793,,,63.2809,,,,,,,,,0.421425,,27.5448,,,,,,7.760363,8.548995,,,,,,,,,0.01015,,,,,,,,,6.016965,,,,,,,,,,
2009155023,36,1,(036) Five Island Lake (Palo Alto ) ,6/4/2009 8:39,2009,173,17,19.7,4,12.6,0.375,74.8,4.5,0.62,6.4,0.5,18.5,8.6,85.7,8,430,,19.2,22.31972,90.812714,2.27135,0.44744,,0.01094,19.58999,,,,,,,,,15.28775,,37.106076,,,,,,,30.614348,,,,0.11594,,,,,0.297451,,,,,,,,,7.345101,,,,0.046048,,,,,,
2009189072,36,2,(036) Five Island Lake (Palo Alto ) ,7/8/2009 10:20,2009,161,18,24,10,14,1.55,79.5,4.5,0.25,5.6,0.6,23.8,8.4,82.9,7,450,,16.7,73.79285,225.156462,7.10715,2.35548,,0.17212,61.97137,2.18673,,,,,,,,,,48.552578,,,,,,16.245877,121.869726,,,,,,,,,0.230277,,,,,,,,,38.120843,,,,0.137161,,,,,,
2009217037,36,3,(036) Five Island Lake (Palo Alto ) ,8/5/2009 8:39,2009,160,27,25.5,12.8,12.8,1.69,132.5,4.5,0.25,5.3,0.4,23.4,8.4,82,7,430,,32.2,101.063,129.691678,16.05377,0.61521,,,82.26609,1.81254,0.31539,,,,,,,,0.539327,72.084491,,,,,,10.178357,34.316152,,,,,0.095467,,,,0.542422,,0.032583,,,,,,,11.578221,,,,0.136326,,,,,,0.188332
2010152009,36,1,(036) Five Island Lake (Palo Alto ) ,6/1/2010 9:56,2010,159,34,16.5,9.5,7,5.9,47.6,4,4.22,5.9,0.6,22.2,8.2,104,9,490,,15.5,937.4375537,219.792,1.360588189,4.26748073,0.186702282,0.804597929,930.8181846,,,,,,,,,2.644,0.091,81.786,,,,,,3.565,122.892,,,,,,,,,0.327,,,,,,,,,7.399,,,,1.088,,,,,,
2010200007,36,2,(036) Five Island Lake (Palo Alto ) ,7/19/2010 12:07,2010,126,43,23.5,9.5,14,3.46,87.9,4,1.78,6.4,0.4,27.2,8,86.2,6.8,370,,16.5,69.19078848,221.2899663,11.27878976,1.207472887,,0.321661887,55.624318,0.484893292,0.27365265,,,,,,,,0.390262064,76.69629781,,,,,,28.16019398,92.10601568,,,,,0.401993136,,,,0.315326543,,,,,,,,,22.46093187,,,,0.323723909,0.43522135,,,,,
2010248001,36,3,(036) Five Island Lake (Palo Alto ) ,9/5/2010 11:29,2010,128,111,32.7,20.7,12,0.91,102.4,4,0.25,5.7,0.3,20.2,8.7,94.2,8.5,330,,25.6,172.6709375,97.88873842,2.654151103,0.350003047,,,169.6667833,,,,,,,,,,0.030069177,16.94553667,,,,,,6.418251816,56.70620819,,,,,,,,,1.06777901,,,,,,,,,16.53682621,,,,0.099594918,0.084472429,,,,,
2011151011,36,1,(036) Five Island Lake (Palo Alto ) ,5/31/2011 10:08,2011,203,39,26.5,8.5,18,7.88,58.9,5.5,4.02,5.1,0.5,19.8,8.4,111.1,10.1,470,0.3,14.4,81.86891203,180.0800502,10.63797784,0.862588817,0.571357888,0.396264342,68.82475753,,0.575965613,,,,,5.772111357,,63.6550471,,35.70907105,,,,,,11.65121622,44.02398608,,,,,,,,,0.403213331,,,,,,,,,18.8654051,,,,,,,,,,
2011199017,36,2,(036) Five Island Lake (Palo Alto ) ,7/18/2011 10:00,2011,161,77,30,14.5,15.5,2.99,80.4,5.5,2.99,5.8,0.5,28.2,8.3,122.1,9.5,400,0.3,20.7,41.10830762,110.5523249,0.779537113,0.228846071,,0.23249725,38.53880228,1.150861387,0.177763522,,,,,0.054504684,,,,37.61042177,,,,0.011700721,,20.09392499,28.8939307,,,,,0.131043364,,,,0.410455979,,,,,,,,,22.95372813,,,,0.392614611,,,,,,
2011241004,36,3,(036) Five Island Lake (Palo Alto ) ,8/29/2011 14:14,2011,120,214,14.7,4,11.6,3.45,127.8,5.5,0.2,5.5,0.3,23.7,8.7,118.8,10,300,0.2,41.1,101.8555142,468.2139228,3.32322503,0.036771508,,0.39529371,98.06345245,,0.036771508,,,,,,,,,281.1676905,,,,,,100.9539704,72.63066434,,,,,,,,,0.68211598,,,,,,,,,12.20448283,,,,0.574998756,,,,,,
2012151044,36,1,(036) Five Island Lake (Palo Alto ) ,5/30/2012 15:08,2012,167,52,23.7,12.6,11.1,2.62,79.1,5,0.4,6.4,0.6,20.1,8.3,95.3,8.6,270,0.4,24.8,447.6401208,365.5560481,4.079889257,0.639457918,,0.508494819,441.2480067,1.049079117,0.115193001,,,,,18.27827057,,,8.471711374,110.0012778,,,,,,23.81578438,157.3313158,,,,,0.104215276,,,,2.188397743,,,,,,,,,30.90747798,,,,9.500027235,3.424397648,,,,,1.533172286
2012199007,36,2,(036) Five Island Lake (Palo Alto ) ,7/17/2012 8:13,2012,156,90,36.1,20.6,15.6,3.03,184.1,5,0.03,5.5,0.3,27.8,8.3,67.4,5.3,280,0.4,66.9,55.25092702,41.38604038,1.606202515,0.428795837,,0.151769375,51.52261607,1.385437579,0.156105643,,,,,,,,,23.18011125,,,,,,5.247841485,5.579920592,,,,,0.01325065,,,,0.032055517,,,,,,,,,7.332860885,,,,,,,,,,
2012244016,36,3,(036) Five Island Lake (Palo Alto ) ,8/31/2012 9:55,2012,150,67,15.8,13.4,2.4,2.32,80.8,16,0.03,5.5,0.5,23.8,8.4,63.3,5.3,250,0.4,19.7,43.05621338,408.3790716,,0.048898217,0.120022896,,42.49721786,,0.39007441,,,,,,,,,92.06187159,,,,,,77.10134894,220.6489882,,,,,0.213490737,,,,0.036522664,,,,,,,,,18.31684948,,,,,,,,,,
2013148003,36,1,(036) Five Island Lake (Palo Alto ) ,5/28/2013 9:35,2013,142,1,6,4,1.6,4.95,91.5,39.8,2.52,5.6,1.4,14.6,7.8,88.3,9,390,0.3,9,2.84359034,183.5169874,2.66395859,0.019282504,0.064951593,0.069011068,0.018267636,,0.008118949,,,,,1.128037595,,,,35.07353899,,,,,,3.286851522,135.6559464,,,,,,,,,0.140081344,,,,,,,,,8.232531598,,,,,,,,,,
2013196003,36,2,(036) Five Island Lake (Palo Alto ) ,7/15/2013 9:07,2013,154,47,21,13,8,5.87,61.7,7,4.02,5.3,0.4,25.1,8.4,101.8,8.4,460,0.3,36.9,151.3688829,268.4372839,0.664032392,0.200482732,,0.241321807,150.263046,,,,,,,,,,,184.1380185,,,,2.288392973,,18.89647826,47.39939728,,,,,,,,,0.03316598,,,,,,,,,15.68183092,,,,,,,,,,
2013239002,36,3,(036) Five Island Lake (Palo Alto ) ,8/27/2013 9:16,2013,107,85,38.7,25.3,13.3,2.26,166.4,7,0.07,5.5,0.3,26.3,8.9,87.4,7,350,0.2,33.2,169.3815458,143.8285803,2.693993487,0.706307574,,0.651976223,165.3292685,,,,,,,,,,,85.32126833,,,,,,6.1346243,29.81129711,,12.8408326,,,0.244506385,,,,0.075118108,,,,,,,,,9.400933417,,,,,,,,,,
2014153002,36,1,(036) Five Island Lake (Palo Alto ) ,6/2/2014 10:42,2014,154,38.1,14.2,7.3,6.9,1.5,66.9,2.8,0.06,5.1,0.9,22.8,8.5,111.8,9.6,460,0.3,12.1,28.1674254,319.2319396,0.181180091,0.710809358,,0.160915643,27.11452031,,,,,,,,,,,47.30882045,,,,0.927966695,,26.26056003,232.8578079,,,,,,,,,0.60240368,,,,,,,,,11.27438084,,0,,,,,,,,
2014202002,36,2,(036) Five Island Lake (Palo Alto ) ,7/21/2014 9:20,2014,162,44.6,22.5,11,11.5,1.83,89,2.8,0.58,5.3,0.5,23.6,8.3,99.1,8.4,430,0.3,34.8,25.81363175,215.288635,0.007489817,0.209808765,,1.11244398,24.48192836,,,0.00196083,,,,,,,,108.3179566,,,,,,4.299395194,91.78132314,,1.875482124,,,0.016511035,,,,0.007770469,,,,,,,,,8.990196397,,0,,,,,,,,
2014244003,36,3,(036) Five Island Lake (Palo Alto ) ,9/1/2014 8:20,2014,145,53,24,14.2,9.8,1.56,168.9,38.5,0.03,5.5,0.4,22.2,8.6,86.1,7.5,390,0.3,29.7,142.6605533,128.5453646,0.268734587,0.140109363,,0.352232354,141.894058,,,0.005418959,,,,,,,,42.43912444,,,,0.07948776,,6.696334184,71.61874868,,,,,,,,,,,,,,,,,,7.711669501,,0,,,,,,,,
2015152002,36,1,(036) Five Island Lake (Palo Alto ) ,6/1/2015 10:05,2015,163,11.5,13.4,6,7.4,4.29,44.4,2.2,2.74,5.2,0.9,17.7,8.3,79.9,7.6,520,0.3,10.5,7.585879646,165.2080244,,0.756445526,,1.328311752,5.501122368,,,,,,,0.068029986,,,,24.25799741,,15.09805911,,2.632311199,,6.616960208,95.01284948,,,,,,,,,0.050938795,,,,,,,,,21.47087823,,,,,,,,,,
2015201002,36,2,(036) Five Island Lake (Palo Alto ) ,7/20/2015 9:00,2015,135,48.8,32.5,16.7,15.8,2.21,102.8,2.2,0.85,5.4,0.4,26.6,8.6,101.7,8.16,430,0.28,31.2,110.2050083,131.294897,,0.77584328,,0.344819235,109.0843458,,,,,,,,,,0.790905756,84.55316114,,,,,,5.531699609,19.10069322,,5.374521237,,,,,,,0.006117429,,,,,,,,,15.91377528,,,,,0.024023318,,,,,
2015242003,36,3,(036) Five Island Lake (Palo Alto ) ,8/30/2015 9:25,2015,135,54.4,25.5,14.49,11,2.92,102.3,9.1,1.19,5.6,0.5,18.7,8.5,144.1,13.44,410,0.27,31.6,35.48679761,181.8066133,,0.276105103,,0.110442041,35.10025047,,,,,,,,,1.907724963,,19.90196407,,,,0.831766948,,16.12465762,138.0487856,,,,,,,,,,,,,,,,,,4.991714119,,,,,,,,,,
2000172001,37,1,(037) Fogle Lake (Ringgold ) ,6/20/2000 12:00,,131,15.5,16,9,7,1.39,,,0.16,7.3,0.98,22.5,8.1,97,8.4,284,,10,14.96734,,0.03248,0.06089,9.46264,2.75914,1.29903,1.35316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000200002,37,2,(037) Fogle Lake (Ringgold ) ,7/18/2000 0:00,,128,1.1,5,4,0.5,1.34,,,0.87,7.6,0.97,26.5,8,84,6.8,274,,7,19.60751,45.50997,0.01494,0.38834,,0.07841,19.12582,,,,,,,,,0.436475,,,36.850321,,,,,0.908818,7.071734,,,,,0.008499,,,,0.075853,,,,,,,,,0.15827,,,,,,,,,,
2000221002,37,3,(037) Fogle Lake (Ringgold ) ,8/8/2000 16:00,,119,10.4,4,3,0.5,1.65,,,0.06,7,0.53,27,8.2,154,12.3,269,,25,21.74501,49.522907,0.11869,0.07202,,0.15203,21.40227,,,,,,,,,1.863182,,,21.715991,,,,,23.235987,,,,,,,,,,0.09528,,,,,,,,,2.25893,,,,0.353537,,,,,,
2001141002,37,1,(037) Fogle Lake (Ringgold ) ,5/21/2001 19:30,,121,,12,7,5,1.4,45,,0.17,7.5,0.85,19.7,8.5,76,6.9,245,,28,1.04611,263.735654,0.3247,0.01447,,,0.02882,0.67812,,,,,,0.286682,,148.419932,,4.378255,,,,,,9.64013,95.399663,,,,,,,,,0.080585,,,,,,,,,2.408027,,,,3.06656,,,,,,0.05582
2001170002,37,2,(037) Fogle Lake (Ringgold ) ,6/19/2001 0:00,,125,15.2,9,3,6,1.56,82,,0.42,8.5,1.55,23,8.3,62,5.3,254,,12,42.37035,133.730166,32.14293,,1.4854,3.35766,4.47752,0.90684,,,,,,,,10.969356,,1.758876,,,,,,7.658851,107.780802,,,,,,,,,0.052658,,,,,,,,,4.970917,,,,0.109655,,,,,,0.429051
2001204002,37,3,(037) Fogle Lake (Ringgold ) ,7/23/2001 0:00,,111,36.9,4,0.5,4,1.1,16,,0.28,6.9,2.6,29,8.8,93,7.1,249,,8,28.50548,168.177546,0.33813,2.62004,,0.16878,25.37853,,,,,,,2.354986,,3.096147,,,123.417953,,,,,,33.099962,,,,,,,,,0.090519,,,,,,,0.443625,,4.04105,,,,1.633304,,,,,,
2002148003,37,1,(037) Fogle Lake (Ringgold ) ,5/28/2002 18:15,,117,31,7,6,0.5,0.47,52,0.5,0.06,7.3,1,22.4,8.8,149,12.9,257,,1,208.63153,79.682905,0.38143,,,,131.56306,76.68704,,,,,,6.435172,,8.538357,,,,,,0.009031,,37.942372,,,,,,,,,,3.808645,,,,,,,,,15.741509,,,,7.207819,,,,,,
2002175003,37,2,(037) Fogle Lake (Ringgold ) ,6/24/2002 15:35,,125,31.8,7,,,1.18,46,0.5,0.13,7.4,1,26.6,8.6,117,9.4,257,,14,35.97208,91.207959,7.68711,0.51362,,,27.77135,,,,,,,,,43.462784,,3.879133,,,,0.002175,,6.353124,,,,,,1.141546,,,,1.683172,0.56467,0.039252,,,,,,,28.723425,,,,,,,,,,5.358678
2002210002,37,3,(037) Fogle Lake (Ringgold ) ,7/29/2002 0:00,,121,9.4,17,6,11,0.89,52,2,0.13,7,1.45,29.7,8.4,112,8.5,239,,6,11.46492,143.490792,0.24109,2.09034,,0.20767,8.74894,,0.17688,,,,,,,17.749019,,57.663139,22.500157,,,0.038849,,5.492729,13.790483,,,,,,,,,0.621568,,,,,,,,,24.378573,,,,0.949213,,,,,,0.307062
2003148003,37,1,(037) Fogle Lake (Ringgold ) ,5/28/2003 10:10,,108,19.4,5,4,0.5,1.26,40,0.5,0.06,8.6,2.05,21.3,9,122,10.8,283,,7,14.59232,346.712809,0.01956,0.79566,,0.68664,13.09046,,,,,,,17.418459,,5.325212,,59.489152,,,,0.000421,,18.509774,211.950833,,,,,,,,,0.668655,,,,,,,,,32.358999,,,,0.161793,,,,,,0.829511
2003175002,37,2,(037) Fogle Lake (Ringgold ) ,6/24/2003 10:30,,89,22.7,8,3,4,1.05,53,0.5,0.06,7.3,1.15,23.9,8,84,7.1,272,,10,12.92654,106.524333,0.37224,0.14302,,0.10208,12.3092,,,,,,,,,8.476581,,53.165517,4.899184,,,0.0013,,,23.140618,,,,,,,,0.354619,0.536999,0.378883,,,,,,,,13.105864,,,,,2.309217,,,,,0.155551
2003210002,37,3,(037) Fogle Lake (Ringgold ) ,7/29/2003 12:00,,83,40.2,12,6,7,1.4,63,0.5,0.06,7,0.7,26.4,8.4,,,256,,20,17.96944,740.750973,0.05401,0.41508,8.77968,0.05701,8.66366,,,,,,,,,522.569904,0.227184,,135.786126,,,0.044822,,,69.867743,,,,,0.415057,,,,0.906526,,,,,,,,,9.991629,,,,0.539424,0.13433,,,,,0.268228
2004146003,37,1,(037) Fogle Lake (Ringgold ) ,5/25/2004 11:00,,120,18.7,7,4,3,1.17,53,0.5,0.33,7.5,1.25,21.1,8.3,89,7.9,240,,21,16.00238,214.366786,0.02445,0.54917,,0.18807,14.14111,1.09958,,,,,,14.656855,,0.520549,,73.094198,,,,0.005322,,10.473054,101.694666,,,,,,,,,1.289084,,0.037076,,,,,,,9.292595,,,,3.243127,0.06026,,,,,
2004174003,37,2,(037) Fogle Lake (Ringgold ) ,6/22/2004 8:40,,123,29.7,12,6,6,1.71,58,3,0.15,6.6,0.95,21.9,8.1,64,5.6,275,,16,22.85486,152.174205,0.23326,0.49336,,0.42487,21.69226,,0.01111,,,,,,,6.2473,,,77.024165,,,0.020863,,8.090854,35.274888,,,,,0.297109,,,,3.25305,,,,,,,,,20.719151,,,,1.246825,,,,,,
2004209003,37,3,(037) Fogle Lake (Ringgold ) ,7/27/2004 10:30,,116,19,12,5,7,1.66,63,2,0.16,6.9,0.75,23,7.9,81,6.9,257,,19,9.8029,62.314235,0.0145,0.49479,,0.00232,9.28085,,0.01044,,,,,1.827485,,6.895851,,,,,,0.003419,,35.106525,0.344309,,,,,0.033182,,,,0.197091,,,,,,,,,17.459354,,,,0.263109,0.18391,,,,,
2005152005,37,1,(037) Fogle Lake (Ringgold ) ,6/1/2005 10:20,,136,14.4,6,4,2,1.52,43,2,0.64,7.4,1.75,20.2,7.8,90,8.2,299,,3,5.65297,141.048795,0.63382,0.26716,,0.22931,4.49528,,0.0274,,,,,10.368878,,,,37.808312,,,,0.000305,,28.026408,57.799623,,,,,,,,,0.161196,,,,,,,,,4.97011,,,,1.891213,0.02275,,,,,
2005179005,37,2,(037) Fogle Lake (Ringgold ) ,6/28/2005 8:30,,118,43.2,0.5,,,0.14,54,0.5,0.06,8.6,0.7,26.7,8.2,76,6.1,250,,12,9.29122,13.108447,0.14563,0.13256,,1.5907,7.08253,,0.3398,,,,,,,0.455555,,,,,,0.000275,,7.892522,,,,,,0.021675,,,,1.946748,,,,,,,,,2.476657,,,,0.24806,0.066955,,,,,
